0,1
10,1
20,1
30,1
40,1
50,1
60,1
70,1
80,2
90,2
100,2
110,2
120,2
130,2
140,2
150,2
160,3
170,3
180,3
190,3
200,3
210,3
220,3
230,3
240,3
250,3
260,3
270,3
280,3
290,3
300,3
310,3
320,3
330,3
340,3
350,3
360,3
370,3
380,3
390,3
400,3
410,3
420,3
430,3
440,3
450,3
460,3
470,3
480,3
490,3
500,3
510,3
520,3
530,3
540,3
550,3
560,3
570,3
580,3
590,3
600,3
610,3
620,3
630,3
640,3
650,3
660,3
670,3
680,3
690,3
700,3
710,3
720,3
730,3
740,3
750,3
760,3
770,3
780,3
790,3
800,3
810,3
820,3
830,3
840,3
850,3
860,3
870,3
880,3
890,3
900,3
910,3
920,3
930,3
940,3
950,3
960,3
970,3
980,3
990,3
1000,3
1010,3
1020,3
1030,3
1040,3
1050,3
1060,3
1070,3
1080,3
1090,3
1100,3
1110,3
1120,3
1130,3
1140,3
1150,3
1160,3
1170,3
1180,3
1190,3
1200,3
1210,3
1220,3
1230,3
1240,3
1250,3
1260,3
1270,3
1280,3
1290,3
1300,4
1310,4
1320,4
1330,4
1340,4
1350,4
1360,4
1370,4
1380,4
1390,4
1400,4
1410,3
1420,4
1430,3
1440,4
1450,4
1460,4
1470,4
1480,4
1490,4
1500,4
1510,4
1520,4
1530,4
1540,4
1550,4
1560,4
1570,4
1580,4
1590,4
1600,4
1610,4
1620,4
1630,4
1640,4
1650,4
1660,4
1670,4
1680,4
1690,4
1700,4
1710,4
1720,4
1730,4
1740,4
1750,4
1760,4
1770,4
1780,4
1790,4
1800,4
1810,4
1820,3
1830,4
1840,4
1850,4
1860,4
1870,4
1880,4
1890,4
1900,4
1910,4
1920,4
1930,4
1940,4
1950,4
1960,4
1970,4
1980,4
1990,4
2000,4
2010,4
2020,4
2030,4
2040,4
2050,4
2060,4
2070,4
2080,4
2090,4
2100,4
2110,4
2120,4
2130,4
2140,4
2150,4
2160,4
2170,4
2180,4
2190,4
2200,4
2210,4
2220,4
2230,4
2240,4
2250,4
2260,4
2270,4
2280,4
2290,4
2300,4
2310,4
2320,4
2330,4
2340,4
2350,4
2360,4
2370,4
2380,4
2390,4
2400,4
2410,4
2420,4
2430,4
2440,4
2450,4
2460,4
2470,4
2480,4
2490,4
2500,4
2510,5
2520,3
2530,4
2540,3
2550,5
2560,5
2570,4
2580,4
2590,5
2600,5
2610,5
2620,5
2630,5
2640,5
2650,5
2660,5
2670,5
2680,5
2690,5
2700,5
2710,5
2720,5
2730,5
2740,5
2750,5
2760,5
2770,5
2780,5
2790,5
2800,5
2810,5
2820,5
2830,5
2840,5
2850,5
2860,5
2870,5
2880,5
2890,5
2900,5
2910,5
2920,5
2930,5
2940,5
2950,5
2960,5
2970,5
2980,5
2990,5
3000,5
3010,5
3020,5
3030,5
3040,5
3050,5
3060,5
3070,5
3080,5
3090,5
3100,5
3110,5
3120,5
3130,5
3140,5
3150,5
3160,5
3170,5
3180,5
3190,5
3200,5
3210,5
3220,5
3230,5
3240,5
3250,5
3260,5
3270,5
3280,4
3290,4
3300,5
3310,5
3320,5
3330,5
3340,5
3350,5
3360,5
3370,5
3380,4
3390,5
3400,5
3410,5
3420,5
3430,5
3440,5
3450,4
3460,5
3470,5
3480,5
3490,5
3500,5
3510,5
3520,4
3530,5
3540,4
3550,5
3560,5
3570,5
3580,4
3590,5
3600,5
3610,5
3620,5
3630,5
3640,5
3650,5
3660,5
3670,5
3680,5
3690,5
3700,5
3710,5
3720,5
3730,5
3740,5
3750,5
3760,5
3770,5
3780,5
3790,5
3800,5
3810,5
3820,5
3830,5
3840,5
3850,5
3860,5
3870,5
3880,5
3890,5
3900,5
3910,5
3920,5
3930,5
3940,5
3950,5
3960,5
3970,5
3980,5
3990,5
4000,5
